,0
quarter,5537
year,4100
iphone,2693
apple,2240
new,2136
product,2128
think,2084
u,2038
revenue,2034
billion,1971
question,1882
market,1733
customer,1654
million,1642
store,1611
time,1478
mac,1451
ipad,1385
growth,1280
service,1273
last,1263
also,1240
sale,1216
margin,1203
would,1184
like,1121
business,1119
weâ,1110
thank,1028
next,1027
first,1024
one,1023
could,1000
see,987
number,972
look,968
term,966
well,962
record,956
great,945
going,938
point,926
thanks,904
share,902
gross,885
strong,883
5,849
today,846
result,842
expect,836
tim,798
china,789
good,784
ipod,771
thing,761
please,753
march,747
call,734
week,726
really,725
june,691
4,689
1,684
know,670
december,667
go,644
channel,642
demand,639
continue,634
guidance,634
people,627
ago,623
inventory,622
2,611
rate,606
end,602
unit,600
september,590
basis,585
around,581
much,580
world,580
6,579
app,567
lot,560
forward,554
want,545
country,545
cash,541
supply,540
3,536
company,535
increase,535
including,532
get,524
many,524
talk,523
bit,522
make,516
obviously,513
two,507
7,485
price,473
way,473
give,469
8,469
000,468
believe,460
month,457
okay,457
itâ,452
iphones,445
looking,443
higher,440
said,437
across,435
sold,431
peter,428
little,428
apps,428
impact,427
follow,426
different,426
comment,421
based,420
10,420
best,420
cost,418
come,416
level,415
total,411
fiscal,409
mix,409
take,398
mentioned,395
io,394
back,394
performance,394
retail,388
range,387
even,384
seen,382
seeing,382
grew,380
high,379
maybe,375
ever,374
expense,374
future,373
day,373
device,367
user,366
program,366
category,361
kind,360
right,357
better,357
luca,349
iâ,348
information,347
three,346
experience,345
launch,344
pro,343
per,341
given,341
yes,340
music,339
compared,337
data,333
base,332
feel,330
phone,330
view,327
sequential,326
developer,323
watch,320
12,319
factor,318
growing,317
still,317
second,315
sort,314
set,313
segment,307
every,307
part,307
let,305
line,305
within,305
carrier,301
saw,300
may,300
change,299
significant,297
operating,296
available,296
9,293
opportunity,291
four,287
donâ,286
turn,285
double,285
ahead,284
earnings,283
everyone,282
tv,282
plan,282
digit,281
versus,277
â,277
investor,275
pleased,275
tax,274
environment,274
software,273
itunes,272
provide,272
help,271
work,266
beginning,265
important,264
stock,264
sequentially,264
purchase,264
lower,262
got,260
say,260
past,258
open,256
additional,255
something,255
selling,253
feature,253
decline,251
sell,251
launched,251
consumer,249
start,248
thatâ,247
side,246
hear,246
continues,245
plus,242
installed,241
announced,240
50,240
macbook,239
overall,239
made,239
latest,239
enterprise,238
area,238
k,237
pay,237
working,235
actually,235
particularly,235
afternoon,235
related,235
grow,233
ipads,232
half,232
form,231
tablet,231
cycle,231
making,229
earlier,229
income,228
capital,227
able,225
upgrade,224
greater,224
net,223
extremely,223
remark,222
state,222
current,221
japan,220
youâ,220
example,219
thought,218
fact,218
talked,217
pricing,217
target,216
update,216
almost,214
third,210
100,208
sure,207
asp,206
course,206
use,205
put,205
release,203
report,202
thinking,202
20,201
11,201
long,200
due,200
le,197
several,197
average,197
joining,197
research,196
replay,196
quarterly,195
value,194
europe,194
component,193
incredible,193
color,192
tell,191
top,191
ended,191
guess,190
geographic,190
couple,189
model,188
move,188
technology,188
education,188
smartphone,187
happy,186
large,186
already,185
done,185
continued,185
steve,185
financial,184
buy,183
shannon,182
40,181
response,181
mean,181
wanted,181
payment,181
increased,181
driven,181
expectation,180
content,180
investment,179
coming,178
